run,judge_run_id,quality_tier,report_count,mean_human_score,mean_system_score,mean_signed_error,mean_absolute_error
1,dcbd993c1a3d44daaa665430354949d1,high,4,100,98.125,-1.875,1.875
1,dcbd993c1a3d44daaa665430354949d1,medium,4,55,87.5,32.5,32.5
1,dcbd993c1a3d44daaa665430354949d1,low,4,21.5,34.5,13,13
2,f1e28c670a1d47aab69739fa4b030e97,high,4,100,100,0,0
2,f1e28c670a1d47aab69739fa4b030e97,medium,4,55,87.5,32.5,32.5
2,f1e28c670a1d47aab69739fa4b030e97,low,4,21.5,34.5,13,13
3,0a1019c85ef543ebb2a5be90b7e71733,high,4,100,100,0,0
3,0a1019c85ef543ebb2a5be90b7e71733,medium,4,55,87.5,32.5,32.5
3,0a1019c85ef543ebb2a5be90b7e71733,low,4,21.5,32.625,11.125,11.125
